5L profile	Denmark	France	Germany	Japan	Netherlands	Spain	Thailand	UK	US	Zimbabwe
34342	0.441	0.110	0.423	0.488	0.353	0.257	0.240	0.252	0.455	0.478
34343	0.427	0.091	0.423	0.475	0.327	0.244	0.233	0.238	0.439	0.468
34344	0.281	-0.003	0.319	0.451	0.177	0.139	0.164	0.097	0.363	0.406
34345	0.128	-0.102	0.211	0.426	0.020	0.030	0.092	-0.050	0.284	0.341
34351	0.295	0.010	0.154	0.469	0.199	0.071	0.120	0.028	0.347	0.373
34352	0.241	-0.061	0.154	0.419	0.101	0.021	0.094	-0.028	0.296	0.337
34353	0.227	-0.080	0.154	0.406	0.075	0.009	0.088	-0.043	0.282	0.327
34354	0.080	-0.136	0.122	0.382	-0.024	-0.032	0.049	-0.124	0.232	0.265
34355	-0.072	-0.194	0.089	0.357	-0.126	-0.074	0.010	-0.208	0.180	0.200
34411	0.659	0.353	0.633	0.634	0.639	0.439	0.380	0.532	0.654	0.645
34412	0.605	0.281	0.633	0.584	0.540	0.390	0.354	0.476	0.608	0.609
34413	0.591	0.263	0.633	0.571	0.515	0.377	0.348	0.461	0.596	0.599
34414	0.444	0.164	0.521	0.547	0.358	0.264	0.275	0.313	0.506	0.537
34415	0.292	0.060	0.404	0.522	0.195	0.147	0.199	0.159	0.413	0.472
34421	0.609	0.263	0.543	0.570	0.570	0.367	0.322	0.433	0.594	0.591
34422	0.556	0.192	0.543	0.520	0.471	0.318	0.297	0.377	0.535	0.555
34423	0.541	0.173	0.543	0.507	0.446	0.305	0.290	0.362	0.519	0.545
34424	0.395	0.074	0.431	0.483	0.289	0.193	0.217	0.214	0.438	0.483
34425	0.242	-0.029	0.314	0.458	0.126	0.075	0.142	0.061	0.353	0.418
34431	0.597	0.241	0.521	0.554	0.553	0.350	0.308	0.409	0.580	0.578
34432	0.543	0.169	0.521	0.504	0.454	0.301	0.282	0.353	0.516	0.542
34433	0.529	0.151	0.521	0.491	0.429	0.288	0.276	0.338	0.500	0.532
34434	0.382	0.052	0.409	0.467	0.272	0.175	0.203	0.190	0.421	0.470
34435	0.230	-0.052	0.292	0.442	0.109	0.058	0.127	0.036	0.338	0.405
34441	0.464	0.144	0.374	0.509	0.408	0.222	0.225	0.249	0.478	0.484
34442	0.410	0.073	0.374	0.459	0.310	0.173	0.200	0.193	0.422	0.448
34443	0.396	0.054	0.374	0.446	0.284	0.160	0.193	0.178	0.407	0.438
34444	0.249	-0.028	0.294	0.422	0.151	0.076	0.134	0.057	0.340	0.376
34445	0.097	-0.113	0.211	0.397	0.012	-0.011	0.072	-0.069	0.270	0.311
34451	0.263	-0.001	0.154	0.440	0.191	0.030	0.100	0.009	0.326	0.343
34452	0.209	-0.072	0.154	0.390	0.092	-0.020	0.075	-0.047	0.280	0.307
34453	0.195	-0.091	0.154	0.377	0.067	-0.032	0.068	-0.062	0.268	0.297
34454	0.048	-0.146	0.122	0.353	-0.032	-0.073	0.030	-0.143	0.219	0.235
34455	-0.104	-0.205	0.089	0.328	-0.134	-0.114	-0.010	-0.227	0.169	0.170
34511	0.595	0.242	0.469	0.574	0.503	0.208	0.270	0.356	0.537	0.583
34512	0.541	0.171	0.469	0.524	0.405	0.158	0.244	0.300	0.502	0.547
34513	0.527	0.152	0.469	0.511	0.379	0.146	0.238	0.285	0.493	0.537
34514	0.380	0.096	0.437	0.487	0.280	0.105	0.199	0.204	0.433	0.475
34515	0.228	0.038	0.404	0.462	0.178	0.064	0.160	0.120	0.370	0.410
34521	0.545	0.153	0.379	0.510	0.434	0.136	0.212	0.258	0.489	0.530
34522	0.491	0.081	0.379	0.460	0.336	0.087	0.187	0.201	0.440	0.493
34523	0.477	0.063	0.379	0.447	0.310	0.074	0.180	0.187	0.428	0.484
